edge_id,source_node,source_label,target_node,target_label,source_type,target_type,connection_type,semantic_family,semantic_meaning,direction,historical_band,confidence,evidence_source_ids,legendary,underlying_record_id,evidence,evidence_authorization,audit_status
E-0059,P-0062,Buddhavara (Ven.),EV-0005,Delhi University - BGICBS academic MOU,PEOPLE,EVENTS,INSTITUTIONAL,PERSON_EVENT_PARTICIPATION,Explicit person/event role in person_event.csv; participation is not treated as a person–institution affiliation.,PERSON_TO_EVENT,B6,MEDIUM,,0,PE-P-0062-EV-0005,BGICBS Chancellor (signatory institution's monastic head) per BTN (btn_buddhavara),person_event PE-P-0062-EV-0005: REPRESENTATIVE — BGICBS Chancellor (signatory institution's monastic head) per BTN (btn_buddhavara),SUPPORTED
E-0060,EP-0001,Jeongbeom sunim (정범 스님),EV-0010,Global Buddhist Summit 2023,PEOPLE,EVENTS,INSTITUTIONAL,PERSON_EVENT_PARTICIPATION,Explicit person/event role in person_event.csv; participation is not treated as a person–institution affiliation.,PERSON_TO_EVENT,B6,HIGH,,0,PE-EP-0001-EV-0010,Jogye 해외특별교구 교구장 직무대행; attended GBS 2023 as official representative on behalf of 총무원장 (hyunbulnews_gbs2023),person_event PE-EP-0001-EV-0010: REPRESENTATIVE — Jogye 해외특별교구 교구장 직무대행; attended GBS 2023 as official representative on behalf of 총무원장 (hyunbulnews_gbs2023),SUPPORTED
E-0061,EP-0002,Munjong sunim (문종 스님),EV-0003,2nd Global Buddhist Summit,PEOPLE,EVENTS,INSTITUTIONAL,PERSON_EVENT_PARTICIPATION,Explicit person/event role in person_event.csv; participation is not treated as a person–institution affiliation.,PERSON_TO_EVENT,B6,HIGH,,0,PE-EP-0002-EV-0003,Jogye 국제교류위원/제전법단장; attended 2nd GBS 2026 as representative of 총무원장 Jinwoo (tongbulgyo_gbs2026),person_event PE-EP-0002-EV-0003: REPRESENTATIVE — Jogye 국제교류위원/제전법단장; attended 2nd GBS 2026 as representative of 총무원장 Jinwoo (tongbulgyo_gbs2026),SUPPORTED
E-0062,EP-0003,Jinwoo sunim (진우 스님),EV-0003,2nd Global Buddhist Summit,PEOPLE,EVENTS,INSTITUTIONAL,PERSON_EVENT_PARTICIPATION,Explicit person/event role in person_event.csv; participation is not treated as a person–institution affiliation.,PERSON_TO_EVENT,B6,HIGH,,0,PE-EP-0003-EV-0003,Congratulatory message read aloud by Munjong on behalf of 총무원장 Jinwoo (tongbulgyo_gbs2026),person_event PE-EP-0003-EV-0003: SPEAKER — Congratulatory message read aloud by Munjong on behalf of 총무원장 Jinwoo (tongbulgyo_gbs2026),SUPPORTED
E-0063,EP-0004,Wonhaeng sunim (원행 스님),EV-0009,Bunhwangsa India dedication (대웅보전 준공식),PEOPLE,EVENTS,INSTITUTIONAL,PERSON_EVENT_PARTICIPATION,Explicit person/event role in person_event.csv; participation is not treated as a person–institution affiliation.,PERSON_TO_EVENT,B6,HIGH,,0,PE-EP-0004-EV-0009,Led the 150-person Jogye official delegation to the Bunhwangsa India dedication (hyunbulnews_bunhwangsa_2022),person_event PE-EP-0004-EV-0009: DELEGATION_LEADER — Led the 150-person Jogye official delegation to the Bunhwangsa India dedication (hyunbulnews_bunhwangsa_2022),SUPPORTED
E-0064,EP-0005,Jung Won-ju (정원주),EV-0002,Bexpo 2026 Buddhist exchange (IBC - Jogye lay),PEOPLE,EVENTS,INSTITUTIONAL,PERSON_EVENT_PARTICIPATION,Explicit person/event role in person_event.csv; participation is not treated as a person–institution affiliation.,PERSON_TO_EVENT,B6,HIGH,,0,PE-EP-0005-EV-0002,Received the IBC Buddha statue as president of the Lay Buddhist Association of the Jogye Order (koreaherald_bexpo2026),person_event PE-EP-0005-EV-0002: HOST — Received the IBC Buddha statue as president of the Lay Buddhist Association of the Jogye Order (koreaherald_bexpo2026),SUPPORTED
E-0065,EP-0006,Abhijit Halder,EV-0002,Bexpo 2026 Buddhist exchange (IBC - Jogye lay),PEOPLE,EVENTS,INSTITUTIONAL,PERSON_EVENT_PARTICIPATION,Explicit person/event role in person_event.csv; participation is not treated as a person–institution affiliation.,PERSON_TO_EVENT,B6,HIGH,,0,PE-EP-0006-EV-0002,Presented the Buddha statue as IBC Director General at Bexpo 2026 (koreaherald_bexpo2026),person_event PE-EP-0006-EV-0002: REPRESENTATIVE — Presented the Buddha statue as IBC Director General at Bexpo 2026 (koreaherald_bexpo2026),SUPPORTED
E-0066,EP-0006,Abhijit Halder,EV-0011,ICYBS 2025 (3rd Int'l Conf. of Young Buddhist Scholars),PEOPLE,EVENTS,INSTITUTIONAL,PERSON_EVENT_PARTICIPATION,Explicit person/event role in person_event.csv; participation is not treated as a person–institution affiliation.,PERSON_TO_EVENT,B6,HIGH,,0,PE-EP-0006-EV-0011,IBC Director General; spoke at ICYBS 2025 and announced broadening the conference to neighboring countries (ibcworld_icybs2025),person_event PE-EP-0006-EV-0011: ORGANIZER — IBC Director General; spoke at ICYBS 2025 and announced broadening the conference to neighboring countries (ibcworld_icybs2025),SUPPORTED
E-0067,EP-0007,Pomnyun sunim (법륜 스님),EV-0004,Jungto Society annual India pilgrimage program,PEOPLE,EVENTS,INSTITUTIONAL,PERSON_EVENT_PARTICIPATION,Explicit person/event role in person_event.csv; participation is not treated as a person–institution affiliation.,PERSON_TO_EVENT,B6,HIGH,,0,PE-EP-0007-EV-0004,Jungto Society founder; leads the annual India pilgrimage program (jungto_india),person_event PE-EP-0007-EV-0004: MONASTIC_LEADER — Jungto Society founder; leads the annual India pilgrimage program (jungto_india),SUPPORTED
E-0068,EP-0008,Jugyeong sunim (주경 스님),EV-0014,Korea-India 50th anniversary cultural exchange (Jogye + ROK Embassy),PEOPLE,EVENTS,INSTITUTIONAL,PERSON_EVENT_PARTICIPATION,Explicit person/event role in person_event.csv; participation is not treated as a person–institution affiliation.,PERSON_TO_EVENT,B6,HIGH,,0,PE-EP-0008-EV-0014,Jogye 중앙종회의장; represented the order at the 50th-anniversary exchange (ibulgyo_jogye50th_2023),person_event PE-EP-0008-EV-0014: REPRESENTATIVE — Jogye 중앙종회의장; represented the order at the 50th-anniversary exchange (ibulgyo_jogye50th_2023),SUPPORTED
E-0069,EP-0009,Jang Jae-bok (장재복),EV-0014,Korea-India 50th anniversary cultural exchange (Jogye + ROK Embassy),PEOPLE,EVENTS,INSTITUTIONAL,PERSON_EVENT_PARTICIPATION,Explicit person/event role in person_event.csv; participation is not treated as a person–institution affiliation.,PERSON_TO_EVENT,B6,HIGH,,0,PE-EP-0009-EV-0014,ROK Ambassador to India; hosted the temple-food dinner at the ambassador's residence (ibulgyo_jogye50th_2023),person_event PE-EP-0009-EV-0014: HOST — ROK Ambassador to India; hosted the temple-food dinner at the ambassador's residence (ibulgyo_jogye50th_2023),SUPPORTED
E-0070,EP-0010,"Korean Buddhist delegation (6 members, 국제불교문제연구소 파견)",EV-0015,Korean Buddhist delegation to India (국제불교문제연구소),PEOPLE,EVENTS,INSTITUTIONAL,PERSON_EVENT_PARTICIPATION,Explicit person/event role in person_event.csv; participation is not treated as a person–institution affiliation.,PERSON_TO_EVENT,B5,HIGH,,0,PE-EP-0010-EV-0015,"6-member delegation dispatched by 국제불교문제연구소; toured Indian sacred sites, met PM Gandhi, donated the Tripitaka facsimile at Nalanda (donga_delegation_1982)","person_event PE-EP-0010-EV-0015: PARTICIPANT — 6-member delegation dispatched by 국제불교문제연구소; toured Indian sacred sites, met PM Gandhi, donated the Tripitaka facsimile at Nalanda (donga_delegation_1982)",SUPPORTED
E-0071,P-0024,Naong Hyegeun,EV-0017,Enshrinement of Dhyānabhadra's relics at Hoeamsa,PEOPLE,EVENTS,INSTITUTIONAL,PERSON_EVENT_PARTICIPATION,Explicit person/event role in person_event.csv; participation is not treated as a person–institution affiliation.,PERSON_TO_EVENT,B2,MEDIUM,,0,PE-P-0024-EV-0017,Naong supervised construction of the 1370 relic stupa on King Kongmin's order (buddhaland_hoeamsa_1370),person_event PE-P-0024-EV-0017: ORGANIZER — Naong supervised construction of the 1370 relic stupa on King Kongmin's order (buddhaland_hoeamsa_1370),SUPPORTED
